Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
28,5.877863,8.290076,8.244275,-0.80127,0.117188,0.579468,0,0,0
31,5.603053,8.320611,7.954198,-0.805176,0.118286,0.577759,0,0,0
34,4.900763,8.442748,7.603053,-0.808228,0.119995,0.576904,0,0,0
37,4.458015,8.625954,7.129771,-0.805542,0.122681,0.579468,0,0,0
40,3.78626,8.732824,6.610687,-0.803711,0.123047,0.579468,0,0,0
43,3.358779,8.80916,6.244275,-0.805542,0.119507,0.578491,0,0,0
46,2.839695,9.038168,5.801527,-0.804932,0.121582,0.578857,0,0,0
49,2.442748,9.083969,5.374046,-0.807129,0.124268,0.576904,0,0,0
52,2.061069,9.236641,5.19084,-0.805908,0.119751,0.575317,0,0,0
55,1.633588,9.29771,4.977099,-0.806274,0.119995,0.578491,0,0,0
58,1.251908,9.343511,4.80916,-0.807007,0.114136,0.577148,0,0,0
61,1.267176,9.450382,4.854962,-0.804077,0.109497,0.576172,0,0,0
64,1.267176,9.450382,4.916031,-0.807251,0.109375,0.573608,0,0,0
67,1.40458,9.587786,4.977099,-0.806885,0.107666,0.575073,0,0,0
70,1.603053,9.587786,4.961832,-0.813843,0.112915,0.57312,0,0,0
73,1.648855,9.557252,5.053435,-0.809937,0.11377,0.572754,0,0,0
76,1.29771,9.679389,4.885496,-0.809326,0.115234,0.571655,0,0,0
79,1.175573,9.603053,4.80916,-0.81189,0.113403,0.573853,0,0,0
82,1.267176,9.419847,4.793893,-0.80896,0.113281,0.572998,0,0,0
85,1.328244,9.19084,4.946565,-0.808105,0.111938,0.574585,0,0,0
88,1.267176,9.29771,4.885496,-0.807373,0.111694,0.571167,0,0,0
91,1.389313,9.114504,5.038168,-0.809082,0.111572,0.572754,0,0,0
94,1.496183,9.114504,5.007634,-0.808594,0.112793,0.56958,0,0,0
97,1.526718,9.068702,4.946565,-0.813599,0.112305,0.567993,0,0,0
100,1.51145,8.900763,4.992366,-0.810791,0.113281,0.566528,0,0,0
103,1.572519,8.854962,4.839695,-0.810913,0.116943,0.565186,0,0,0
106,1.251908,8.59542,4.763359,-0.813599,0.115601,0.565186,0,0,0
109,1.419847,8.412214,4.641221,-0.817505,0.115967,0.563477,0,0,0
112,1.389313,8.10687,4.549618,-0.817017,0.112793,0.55957,0,0,0
115,1.480916,7.694656,4.458015,-0.817749,0.116333,0.562134,0,0,0
118,1.389313,7.267176,4.183206,-0.815918,0.120605,0.56189,0,0,0
121,1.221374,6.946565,3.816794,-0.819824,0.120239,0.562744,0,0,0
124,0.870229,6.625954,3.679389,-0.812866,0.122559,0.559448,0,0,0
127,0.564885,6.259542,3.51145,-0.816284,0.122681,0.560669,0,0,0
130,0.335878,6.137405,2.992366,-0.817505,0.118408,0.564819,0,0,0
133,0.198473,5.679389,2.977099,-0.818481,0.11853,0.564941,0,0,0
136,0.229008,5.374046,2.671756,-0.815918,0.118164,0.559326,0,0,0
139,0.137405,5.19084,2.519084,-0.814087,0.118652,0.562988,0,0,0
142,0.229008,4.992366,2.427481,-0.814575,0.116699,0.562134,0,0,0
145,0.076336,4.717557,2.427481,-0.813354,0.116577,0.564941,0,0,0
148,0.229008,4.427481,2.229008,-0.810669,0.117432,0.563599,0,0,0
151,0.167939,4.137405,2.045802,-0.810303,0.11853,0.560547,0,0,0
154,-0.076336,3.877863,1.938931,-0.812378,0.118896,0.555542,0,0,0
157,-0.152672,3.694656,1.725191,-0.80896,0.118652,0.555054,0,0,0
160,-0.305344,3.465649,1.236641,-0.81189,0.11731,0.559692,0,0,0
163,-0.351145,2.961832,1.236641,-0.815063,0.118286,0.565918,0,0,0
166,-0.534351,2.580153,1.251908,-0.820679,0.119873,0.571533,0,0,0
169,-0.564885,2.366412,1.29771,-0.820557,0.11731,0.57251,0,0,0
172,-0.534351,2.152672,1.221374,-0.820923,0.116211,0.567993,0,0,0
175,-0.427481,2,1.389313,-0.820068,0.112061,0.567505,0,0,0
178,-0.351145,1.923664,1.496183,-0.814453,0.109131,0.565552,0,0,0
181,0.076336,1.908397,1.679389,-0.812866,0.107544,0.563721,0,0,0
184,0.122137,1.755725,1.816794,-0.81311,0.106323,0.566162,0,0,0
187,0.458015,1.725191,2.015267,-0.812134,0.110229,0.568359,0,0,0
190,0.732824,1.633588,2.229008,-0.810913,0.11145,0.565674,0,0,0
193,0.854962,1.587786,2.244275,-0.811523,0.105835,0.56543,0,0,0
196,1.083969,1.572519,2.305344,-0.806885,0.110229,0.56665,0,0,0
199,1.175573,1.526718,2.519084,-0.80542,0.112915,0.567383,0,0,0
202,1.282443,1.557252,2.519084,-0.809082,0.111084,0.567749,0,0,0
205,1.374046,1.740458,2.580153,-0.806152,0.112549,0.569946,0,0,0
208,1.557252,1.984733,2.549618,-0.806396,0.113281,0.570068,0,0,0
211,1.664122,1.923664,2.671756,-0.81189,0.111206,0.57312,0,0,0
214,1.908397,1.969466,2.732824,-0.812256,0.116821,0.57251,0,0,0
217,1.78626,2,2.625954,-0.805908,0.12207,0.567627,0,0,0
220,1.694656,2.198473,2.290076,-0.811279,0.127319,0.568481,0,0,0
223,1.221374,2.198473,1.877863,-0.816528,0.124268,0.565918,0,0,0
226,0.748092,2.229008,1.51145,-0.8125,0.123413,0.567505,0,0,0
229,0.70229,2.167939,1.236641,-0.815918,0.119751,0.567627,0,0,0
232,0.625954,2.015267,1.022901,-0.82019,0.119629,0.567017,0,0,0
235,0.671756,1.938931,0.763359,-0.82019,0.119141,0.56665,0,0,0
238,0.580153,1.816794,0.610687,-0.822144,0.116211,0.567261,0,0,0
241,0.671756,1.572519,0.381679,-0.818359,0.118164,0.567139,0,0,0
244,0.381679,1.526718,0.244275,-0.811523,0.119507,0.564941,0,0,0
247,0.442748,1.465649,-0.061069,-0.813232,0.118164,0.561157,0,0,0
250,0.48855,1.435115,-0.290076,-0.808716,0.120117,0.561768,0,0,0
253,0.351145,1.343511,-0.580153,-0.80896,0.120728,0.561523,0,0,0
0,0.259542,1.312977,-0.748092,-0.806519,0.121826,0.559204,0,0,0
