Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
198,-20.198473,-1.267176,-5.587786,-0.76123,0.075439,0.643188,0,0,0
201,-20.442748,-1.129771,-6.10687,-0.758301,0.076294,0.643433,0,0,0
204,-20.70229,-1.068702,-6.259542,-0.760376,0.07666,0.641602,0,0,0
207,-20.580153,-0.732824,-6.610687,-0.763062,0.071167,0.644531,0,0,0
210,-20.656489,-0.900763,-7.038168,-0.762451,0.067261,0.639526,0,0,0
213,-20.366412,-1.114504,-6.748092,-0.764648,0.06311,0.641357,0,0,0
216,-19.603053,-1.358779,-6.870229,-0.766113,0.05542,0.63855,0,0,0
219,-19.022901,-1.40458,-6.839695,-0.765381,0.057007,0.638794,0,0,0
222,-18.503817,-1.664122,-6.80916,-0.766235,0.054443,0.638794,0,0,0
225,-17.679389,-1.816794,-6.992366,-0.768555,0.060059,0.639038,0,0,0
228,-17.496183,-2.305344,-7.312977,-0.773926,0.069458,0.641113,0,0,0
231,-17.526718,-2.793893,-7.862595,-0.778687,0.074951,0.642822,0,0,0
234,-18.137405,-3.312977,-8.549618,-0.78186,0.079102,0.64624,0,0,0
237,-18.763359,-3.725191,-9.40458,-0.779663,0.082153,0.647095,0,0,0
240,-19.312977,-4.290076,-9.938931,-0.777832,0.077148,0.645264,0,0,0
243,-19.908397,-4.473282,-10.763359,-0.775513,0.069092,0.643433,0,0,0
246,-19.89313,-4.70229,-11.603053,-0.774292,0.072021,0.647217,0,0,0
249,-20.198473,-4.824427,-12.015267,-0.769653,0.065918,0.64502,0,0,0
252,-20.320611,-5.038168,-12.335878,-0.774658,0.0625,0.646851,0,0,0
255,-20.167939,-5.099237,-12.900763,-0.772095,0.063843,0.647583,0,0,0
2,-20.305344,-5.343511,-13.175573,-0.770264,0.056885,0.646118,0,0,0
5,-20.198473,-5.450382,-13.435115,-0.772949,0.055054,0.648438,0,0,0
8,-20.259542,-5.541985,-13.587786,-0.770508,0.061279,0.648193,0,0,0
11,-20.137405,-5.541985,-14.045802,-0.77063,0.062866,0.64502,0,0,0
14,-20.305344,-5.603053,-14.458015,-0.765259,0.065308,0.645264,0,0,0
17,-20.671756,-5.541985,-14.946565,-0.764282,0.065063,0.644897,0,0,0
20,-21.053435,-5.389313,-15.374046,-0.764648,0.06543,0.643555,0,0,0
23,-21.618321,-5.29771,-16.061069,-0.762207,0.073364,0.643555,0,0,0
26,-22.10687,-5.312977,-16.641221,-0.759033,0.068237,0.642334,0,0,0
29,-22.717557,-5.160305,-17.160305,-0.760742,0.065308,0.643066,0,0,0
32,-22.961832,-5.099237,-17.480916,-0.762451,0.059204,0.644775,0,0,0
35,-23.343511,-5.022901,-17.832061,-0.759521,0.056641,0.647217,0,0,0
38,-23.694656,-4.870229,-18.167939,-0.764526,0.05542,0.647949,0,0,0
41,-24.030534,-4.687023,-18.167939,-0.762207,0.052612,0.649536,0,0,0
44,-24.030534,-4.351145,-18.259542,-0.759033,0.0448,0.647217,0,0,0
47,-23.832061,-4.152672,-18.229008,-0.755615,0.04248,0.644409,0,0,0
50,-23.709924,-3.648855,-18.167939,-0.75415,0.040161,0.649658,0,0,0
