Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
31,1.236641,-0.687023,1.847328,-0.923584,0.060425,0.395874,0,0,0
34,1.496183,-0.961832,1.648855,-0.919434,0.065063,0.394409,0,0,0
37,1.267176,-1.603053,1.557252,-0.918701,0.070557,0.394409,0,0,0
40,0.885496,-1.847328,1.221374,-0.918457,0.07019,0.393555,0,0,0
43,0.778626,-2.167939,0.946565,-0.918213,0.068359,0.390625,0,0,0
46,0.580153,-2.748092,0.763359,-0.921631,0.064697,0.394531,0,0,0
49,0.519084,-3.007634,0.732824,-0.918823,0.060913,0.389038,0,0,0
52,0.59542,-3.251908,0.732824,-0.915894,0.062622,0.391357,0,0,0
55,0.687023,-3.572519,0.763359,-0.918823,0.060791,0.396362,0,0,0
58,0.687023,-3.984733,0.839695,-0.915527,0.05835,0.395386,0,0,0
61,0.59542,-4.320611,1.007634,-0.917114,0.060669,0.396484,0,0,0
64,0.854962,-4.610687,0.824427,-0.913452,0.062744,0.395508,0,0,0
67,1.068702,-4.824427,0.870229,-0.914551,0.062012,0.394409,0,0,0
70,0.885496,-4.992366,0.854962,-0.918701,0.064941,0.398438,0,0,0
73,0.870229,-5.251908,0.59542,-0.912231,0.068115,0.400024,0,0,0
76,0.793893,-5.419847,0.549618,-0.914795,0.06604,0.400879,0,0,0
79,0.763359,-5.51145,0.351145,-0.913818,0.064575,0.398193,0,0,0
82,0.793893,-5.740458,0.152672,-0.919556,0.067871,0.398804,0,0,0
85,0.656489,-5.862595,-0.030534,-0.912109,0.065552,0.401611,0,0,0
88,0.625954,-6.061069,-0.076336,-0.915649,0.065063,0.404053,0,0,0
91,0.656489,-6.015267,-0.366412,-0.915649,0.065552,0.405029,0,0,0
94,0.48855,-6.10687,-0.335878,-0.911377,0.063477,0.400146,0,0,0
97,0.59542,-6.061069,-0.580153,-0.910767,0.064209,0.401611,0,0,0
100,0.519084,-6.10687,-0.549618,-0.91272,0.064209,0.404541,0,0,0
103,0.564885,-6.10687,-0.687023,-0.913696,0.063354,0.403809,0,0,0
106,0.59542,-6.015267,-0.793893,-0.913208,0.067505,0.404785,0,0,0
109,0.442748,-5.969466,-0.839695,-0.911255,0.06604,0.405273,0,0,0
112,0.335878,-5.816794,-1.129771,-0.910034,0.06543,0.405029,0,0,0
115,0.21374,-5.648855,-1.038168,-0.910645,0.065796,0.403442,0,0,0
118,0.183206,-5.51145,-1.358779,-0.908203,0.06604,0.402466,0,0,0
121,0.198473,-5.328244,-1.267176,-0.911499,0.061157,0.403564,0,0,0
124,0.122137,-5.236641,-1.435115,-0.912598,0.061035,0.404663,0,0,0
127,0.366412,-5.068702,-1.267176,-0.912354,0.061279,0.40564,0,0,0
130,0.427481,-5.083969,-1.374046,-0.911743,0.063721,0.405762,0,0,0
133,0.381679,-4.870229,-1.312977,-0.909058,0.065796,0.411011,0,0,0
136,0.473282,-4.763359,-1.267176,-0.909546,0.063965,0.405273,0,0,0
139,0.503817,-4.625954,-1.419847,-0.911255,0.064209,0.404907,0,0,0
142,0.610687,-4.366412,-1.374046,-0.910278,0.065918,0.408447,0,0,0
145,0.412214,-4.305344,-1.236641,-0.911621,0.064209,0.407349,0,0,0
148,0.458015,-3.816794,-1.206107,-0.908203,0.063843,0.407227,0,0,0
151,0.458015,-3.679389,-1.083969,-0.909058,0.060059,0.410767,0,0,0
154,0.48855,-3.312977,-1.251908,-0.908813,0.063477,0.408691,0,0,0
157,0.503817,-2.916031,-1.236641,-0.90625,0.067871,0.411011,0,0,0
160,0.366412,-2.70229,-1.328244,-0.904541,0.065918,0.408813,0,0,0
163,0.076336,-2.427481,-1.435115,-0.90979,0.068115,0.408447,0,0,0
166,-0.137405,-2.229008,-1.572519,-0.906738,0.067383,0.405151,0,0,0
169,-0.152672,-1.984733,-1.709924,-0.911133,0.064697,0.408325,0,0,0
172,-0.183206,-1.603053,-1.725191,-0.910522,0.0625,0.403931,0,0,0
175,-0.167939,-1.419847,-1.725191,-0.909302,0.060913,0.405029,0,0,0
178,-0.152672,-1.328244,-1.618321,-0.906494,0.062378,0.407959,0,0,0
181,-0.137405,-1.099237,-1.419847,-0.904541,0.057007,0.402222,0,0,0
184,-0.045802,-0.961832,-1.374046,-0.899658,0.057251,0.4021,0,0,0
187,0.21374,-0.687023,-1.251908,-0.906372,0.060059,0.40564,0,0,0
190,0.183206,-0.473282,-1.007634,-0.911377,0.057861,0.408203,0,0,0
193,0.198473,-0.229008,-0.946565,-0.912476,0.062134,0.410889,0,0,0
196,0.244275,0.030534,-0.870229,-0.913818,0.063354,0.413452,0,0,0
199,0.21374,0.412214,-0.732824,-0.917969,0.065186,0.412598,0,0,0
202,0.244275,0.549618,-0.778626,-0.914795,0.060425,0.40918,0,0,0
205,0.198473,0.70229,-0.854962,-0.90979,0.062378,0.404175,0,0,0
208,0.045802,0.793893,-0.748092,-0.901611,0.062988,0.395142,0,0,0
211,0.076336,0.870229,-0.885496,-0.900635,0.061768,0.397949,0,0,0
214,0.045802,0.977099,-0.961832,-0.908691,0.062866,0.404785,0,0,0
217,0.045802,0.961832,-0.854962,-0.913696,0.059692,0.408081,0,0,0
220,0.122137,1.221374,-0.70229,-0.91687,0.05957,0.411987,0,0,0
223,0.198473,1.251908,-0.610687,-0.92041,0.059204,0.415527,0,0,0
226,0.290076,1.374046,-0.412214,-0.922241,0.061157,0.413696,0,0,0
229,0.396947,1.450382,-0.366412,-0.916504,0.060913,0.408936,0,0,0
232,0.290076,1.343511,-0.259542,-0.911987,0.060669,0.402344,0,0,0
235,0.366412,1.312977,-0.442748,-0.907959,0.061279,0.399536,0,0,0
238,0.396947,1.435115,-0.396947,-0.9021,0.060547,0.400635,0,0,0
241,0.442748,1.572519,-0.183206,-0.903809,0.059204,0.401611,0,0,0
244,0.427481,1.587786,-0.335878,-0.906494,0.061401,0.401733,0,0,0
247,0.412214,1.725191,-0.412214,-0.90564,0.06311,0.408203,0,0,0
250,0.351145,1.740458,-0.442748,-0.91394,0.065308,0.403931,0,0,0
253,0.045802,1.709924,-0.519084,-0.912598,0.064819,0.408081,0,0,0
0,0.320611,1.740458,-0.549618,-0.91687,0.063843,0.408081,0,0,0
3,-0.045802,1.847328,-0.519084,-0.910767,0.0625,0.407715,0,0,0
6,-0.076336,1.679389,-0.427481,-0.91748,0.06189,0.406494,0,0,0
9,0.152672,1.847328,-0.396947,-0.914795,0.060303,0.402954,0,0,0
12,0.244275,1.862595,-0.396947,-0.909668,0.058472,0.403931,0,0,0
15,0.229008,1.954198,-0.351145,-0.910278,0.059082,0.397827,0,0,0
18,0.274809,1.908397,-0.167939,-0.90918,0.059204,0.399414,0,0,0
21,0.274809,1.832061,-0.10687,-0.909058,0.062622,0.4021,0,0,0
24,0.091603,1.847328,-0.076336,-0.910522,0.065063,0.402832,0,0,0
27,0.152672,1.908397,0.015267,-0.916992,0.06311,0.404053,0,0,0
30,0.183206,1.78626,0.091603,-0.914551,0.061523,0.403198,0,0,0
33,0.274809,1.877863,0.244275,-0.916504,0.060059,0.405273,0,0,0
36,0.045802,1.877863,0.198473,-0.9198,0.064819,0.405884,0,0,0
39,-0.045802,1.78626,0.061069,-0.916626,0.067017,0.401489,0,0,0
42,-0.580153,1.679389,-0.076336,-0.914185,0.06189,0.400879,0,0,0
45,-0.48855,1.679389,-0.045802,-0.90979,0.0625,0.398438,0,0,0
48,-0.320611,1.709924,0.045802,-0.910278,0.058594,0.396484,0,0,0
51,-0.366412,1.709924,0.015267,-0.907959,0.060791,0.398804,0,0,0
54,-0.412214,1.740458,0.167939,-0.906982,0.061646,0.401855,0,0,0
57,-0.442748,1.816794,0.229008,-0.906494,0.059204,0.403931,0,0,0
60,-0.534351,1.801527,0.229008,-0.910645,0.068359,0.403931,0,0,0
63,-0.625954,1.877863,0.091603,-0.908569,0.068115,0.406128,0,0,0
66,-1.145038,1.89313,-0.091603,-0.911011,0.067871,0.403198,0,0,0
69,-1.282443,1.969466,-0.335878,-0.909912,0.066772,0.40271,0,0,0
72,-1.603053,1.89313,-0.305344,-0.910522,0.05957,0.405029,0,0,0
75,-1.51145,2.030534,-0.442748,-0.91272,0.057129,0.39978,0,0,0
78,-1.374046,1.984733,-0.21374,-0.910645,0.057129,0.402222,0,0,0
81,-1.068702,2.137405,0.076336,-0.912354,0.053711,0.402832,0,0,0
84,-0.977099,2.152672,0.244275,-0.910156,0.055786,0.404541,0,0,0
87,-0.778626,2.152672,0.564885,-0.91333,0.057617,0.405884,0,0,0
90,-0.610687,2.152672,0.854962,-0.912964,0.057861,0.402954,0,0,0
93,-0.458015,2.198473,0.961832,-0.916626,0.057373,0.402466,0,0,0
96,-0.366412,2.045802,1.053435,-0.91687,0.061035,0.403931,0,0,0
99,-0.427481,2.030534,1.145038,-0.914307,0.057739,0.400146,0,0,0
102,-0.076336,1.832061,1.251908,-0.91748,0.057373,0.402588,0,0,0
105,-0.229008,1.877863,1.175573,-0.912476,0.061279,0.400269,0,0,0
108,-0.152672,1.740458,1.206107,-0.916016,0.06189,0.397339,0,0,0
111,-0.061069,1.648855,1.19084,-0.913818,0.064575,0.398193,0,0,0
114,-0.076336,1.541985,1.206107,-0.909668,0.060913,0.399536,0,0,0
117,0.183206,1.603053,1.19084,-0.912598,0.060303,0.399048,0,0,0
120,0.045802,1.40458,1.312977,-0.91394,0.060913,0.402832,0,0,0
123,0.396947,1.389313,1.328244,-0.916504,0.063599,0.400757,0,0,0
126,0.305344,1.29771,1.419847,-0.91394,0.064209,0.403198,0,0,0
129,0.396947,1.251908,1.022901,-0.910156,0.070557,0.398193,0,0,0
132,-0.015267,1.083969,0.961832,-0.913452,0.070068,0.398193,0,0,0
135,-0.183206,1.038168,0.625954,-0.913574,0.066406,0.396973,0,0,0
138,-0.396947,1.022901,0.229008,-0.91687,0.067505,0.397583,0,0,0
141,-0.458015,0.80916,0.045802,-0.915039,0.062622,0.39563,0,0,0
144,-0.503817,0.656489,-0.198473,-0.913086,0.061401,0.399658,0,0,0
147,-0.59542,0.59542,-0.396947,-0.915161,0.062012,0.398315,0,0,0
150,-0.641221,0.381679,-0.351145,-0.915894,0.061401,0.397339,0,0,0
153,-0.564885,0.351145,-0.335878,-0.917969,0.061646,0.402466,0,0,0
156,-0.473282,0.198473,-0.290076,-0.918457,0.06189,0.40271,0,0,0
159,-0.305344,0.167939,-0.320611,-0.918335,0.059082,0.400269,0,0,0
162,-0.122137,0.030534,-0.274809,-0.915894,0.056274,0.401123,0,0,0
165,-0.152672,-0.015267,-0.030534,-0.912354,0.059448,0.398438,0,0,0
168,0.061069,-0.030534,0,-0.910645,0.060547,0.400146,0,0,0
171,0.259542,0.061069,0.045802,-0.910767,0.061279,0.402588,0,0,0
174,0.427481,0.137405,0.198473,-0.911743,0.062744,0.399902,0,0,0
177,0.396947,0.183206,0.137405,-0.910645,0.06189,0.401123,0,0,0
180,0.519084,0.305344,0.091603,-0.907715,0.062256,0.4021,0,0,0
183,0.48855,0.351145,0.259542,-0.916504,0.063232,0.405396,0,0,0
186,0.564885,0.503817,0.167939,-0.915161,0.061157,0.401855,0,0,0
189,0.625954,0.580153,0.229008,-0.912842,0.063477,0.403076,0,0,0
192,0.59542,0.778626,0.335878,-0.911987,0.059326,0.404175,0,0,0
195,0.656489,0.931298,0.351145,-0.910034,0.062134,0.402588,0,0,0
198,0.671756,1.160305,0.442748,-0.910645,0.060059,0.402344,0,0,0
201,0.564885,1.221374,0.351145,-0.910767,0.06189,0.403076,0,0,0
204,0.931298,1.450382,0.625954,-0.915405,0.060303,0.401733,0,0,0
207,0.778626,1.618321,0.70229,-0.914062,0.058105,0.404419,0,0,0
210,0.946565,1.801527,0.778626,-0.914795,0.061401,0.404175,0,0,0
213,1.19084,1.877863,0.824427,-0.910889,0.063599,0.402466,0,0,0
216,1.053435,2.045802,0.870229,-0.908813,0.065186,0.396362,0,0,0
219,1.160305,2.10687,0.793893,-0.912476,0.06189,0.39917,0,0,0
222,0.946565,2.152672,0.931298,-0.911499,0.060181,0.400879,0,0,0
225,1.160305,2.198473,0.839695,-0.913452,0.060669,0.401245,0,0,0
228,1.145038,2.290076,0.977099,-0.911377,0.061523,0.401245,0,0,0
231,1.251908,2.229008,0.763359,-0.913818,0.063232,0.398682,0,0,0
234,1.129771,2.21374,0.870229,-0.913574,0.063477,0.39624,0,0,0
237,1.145038,2.137405,0.763359,-0.916016,0.060181,0.396484,0,0,0
240,1.175573,2.061069,0.824427,-0.911865,0.061768,0.397217,0,0,0
243,1.083969,2.122137,0.748092,-0.912354,0.063354,0.397461,0,0,0
246,0.977099,1.862595,0.824427,-0.91394,0.0625,0.394409,0,0,0
249,1.114504,1.847328,0.687023,-0.916626,0.06311,0.394531,0,0,0
252,1.007634,1.862595,0.763359,-0.915649,0.063477,0.399902,0,0,0
255,1.022901,1.832061,0.778626,-0.911743,0.05957,0.395386,0,0,0
2,1.068702,1.664122,0.80916,-0.91687,0.060425,0.393921,0,0,0
5,1.038168,1.603053,0.870229,-0.916138,0.060669,0.398926,0,0,0
8,1.099237,1.587786,0.946565,-0.918213,0.063599,0.398682,0,0,0
11,1.374046,1.343511,0.946565,-0.914917,0.059082,0.399658,0,0,0
14,1.221374,1.328244,1.129771,-0.914185,0.062988,0.395996,0,0,0
17,1.282443,1.236641,1.099237,-0.918701,0.060547,0.39856,0,0,0
20,1.206107,1.053435,1.175573,-0.916382,0.061157,0.397217,0,0,0
23,1.19084,1.053435,0.992366,-0.915527,0.062622,0.39624,0,0,0
26,1.236641,0.854962,1.145038,-0.915894,0.066528,0.398438,0,0,0
29,0.931298,0.641221,1.083969,-0.918701,0.06665,0.397705,0,0,0
32,1.022901,0.549618,1.19084,-0.916138,0.065308,0.396118,0,0,0
35,1.038168,0.366412,1.129771,-0.91333,0.061523,0.397827,0,0,0
38,1.145038,0.335878,1.175573,-0.913452,0.064453,0.39502,0,0,0
41,1.099237,0.198473,1.221374,-0.916382,0.060303,0.397949,0,0,0
44,1.068702,0.061069,1.160305,-0.91626,0.060791,0.395264,0,0,0
47,1.068702,-0.076336,1.374046,-0.913696,0.060059,0.398193,0,0,0
50,1.206107,-0.10687,1.358779,-0.913086,0.05957,0.398926,0,0,0
53,1.053435,-0.091603,1.557252,-0.915771,0.059937,0.399048,0,0,0
56,1.160305,-0.122137,1.51145,-0.913696,0.061279,0.398926,0,0,0
59,1.022901,-0.183206,1.78626,-0.912598,0.061401,0.400757,0,0,0
62,1.175573,-0.183206,1.770992,-0.915283,0.061768,0.400879,0,0,0
65,1.251908,-0.091603,2.045802,-0.91687,0.059448,0.39917,0,0,0
68,1.221374,-0.030534,2.137405,-0.915405,0.059326,0.400513,0,0,0
71,1.389313,-0.030534,2.381679,-0.915771,0.059448,0.402344,0,0,0
74,1.480916,0.015267,2.519084,-0.914429,0.057739,0.401367,0,0,0
77,1.740458,0.030534,2.732824,-0.913208,0.057739,0.397461,0,0,0
80,1.877863,0.061069,2.946565,-0.91272,0.059082,0.402466,0,0,0
83,1.938931,0.045802,3.038168,-0.914795,0.060669,0.395752,0,0,0
86,1.847328,0.015267,3.267176,-0.915283,0.062866,0.404175,0,0,0
89,1.984733,0.122137,3.236641,-0.918945,0.062988,0.395996,0,0,0
92,1.755725,0.122137,3.526718,-0.916016,0.062866,0.39856,0,0,0
95,1.755725,0.122137,3.480916,-0.910889,0.065918,0.396973,0,0,0
98,1.740458,0.122137,3.51145,-0.912109,0.065186,0.395752,0,0,0
101,1.89313,0.167939,3.450382,-0.908813,0.066528,0.396973,0,0,0
104,1.572519,0.122137,3.603053,-0.913818,0.061157,0.396973,0,0,0
107,1.862595,0.152672,3.633588,-0.911865,0.061646,0.399292,0,0,0
110,1.725191,0.122137,3.740458,-0.914917,0.064087,0.396118,0,0,0
113,1.877863,0.015267,3.755725,-0.913574,0.06311,0.398926,0,0,0
116,1.847328,0,3.877863,-0.913452,0.068115,0.3927,0,0,0
119,1.618321,-0.183206,3.633588,-0.915527,0.071411,0.39624,0,0,0
122,1.435115,-0.259542,3.557252,-0.915527,0.064453,0.394897,0,0,0
125,1.236641,-0.351145,3.496183,-0.916138,0.065918,0.397583,0,0,0
128,1.328244,-0.412214,3.343511,-0.91687,0.066528,0.3927,0,0,0
131,1.267176,-0.458015,3.389313,-0.91748,0.062622,0.395874,0,0,0
134,1.312977,-0.534351,3.358779,-0.915405,0.064331,0.394775,0,0,0
137,1.29771,-0.641221,3.282443,-0.914673,0.069336,0.395996,0,0,0
140,1.236641,-0.641221,3.236641,-0.919434,0.069092,0.395874,0,0,0
143,1.221374,-0.778626,3.129771,-0.91626,0.064575,0.401001,0,0,0
146,1.175573,-0.824427,3.053435,-0.913696,0.06543,0.394531,0,0,0
