Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
28,-0.381679,-3.145038,-0.534351,-0.629517,0.117798,0.807007,0,0,0
31,-0.320611,-3.083969,-0.549618,-0.624756,0.116089,0.804321,0,0,0
34,-0.244275,-3.038168,-0.519084,-0.624634,0.120239,0.799072,0,0,0
37,-0.183206,-2.900763,-0.503817,-0.619263,0.115845,0.790894,0,0,0
40,0.030534,-2.854962,-0.396947,-0.619385,0.115601,0.791382,0,0,0
43,0.015267,-2.80916,-0.259542,-0.617676,0.116455,0.790527,0,0,0
46,0.274809,-2.748092,-0.320611,-0.618286,0.115234,0.792725,0,0,0
49,0.381679,-2.503817,-0.122137,-0.61731,0.113403,0.793213,0,0,0
52,0.381679,-2.48855,-0.183206,-0.61438,0.112793,0.792114,0,0,0
55,0.625954,-2.412214,-0.10687,-0.613159,0.115845,0.792114,0,0,0
58,0.70229,-2.290076,0.076336,-0.613647,0.118164,0.787598,0,0,0
61,0.59542,-2.030534,0.045802,-0.612061,0.114136,0.788818,0,0,0
64,0.732824,-1.908397,0,-0.613037,0.121094,0.789795,0,0,0
67,0.854962,-1.89313,0.244275,-0.609863,0.118408,0.78479,0,0,0
70,0.885496,-1.725191,0.21374,-0.608032,0.11792,0.783936,0,0,0
73,0.839695,-1.51145,0.381679,-0.606323,0.117188,0.782959,0,0,0
76,1.022901,-1.40458,0.351145,-0.60437,0.119141,0.784058,0,0,0
79,0.870229,-1.19084,0.519084,-0.608643,0.118896,0.785278,0,0,0
82,1.038168,-1.099237,0.427481,-0.603394,0.121094,0.786499,0,0,0
85,0.977099,-0.961832,0.564885,-0.603882,0.12207,0.78833,0,0,0
88,0.870229,-0.854962,0.671756,-0.602051,0.119385,0.786865,0,0,0
91,0.80916,-0.564885,0.763359,-0.600098,0.118408,0.783936,0,0,0
94,0.80916,-0.442748,0.793893,-0.597534,0.121216,0.78418,0,0,0
97,0.885496,-0.21374,1.007634,-0.601074,0.120239,0.785645,0,0,0
100,0.625954,-0.167939,1.068702,-0.59729,0.118896,0.784424,0,0,0
103,0.534351,0.030534,1.221374,-0.595215,0.113525,0.784546,0,0,0
106,0.778626,0.229008,1.129771,-0.593994,0.113647,0.787598,0,0,0
109,0.900763,0.366412,1.236641,-0.592773,0.110962,0.786011,0,0,0
112,1.083969,0.519084,1.343511,-0.590088,0.112549,0.786621,0,0,0
115,1.114504,0.641221,1.343511,-0.591431,0.106812,0.78772,0,0,0
118,1.312977,0.793893,1.328244,-0.592285,0.110718,0.782715,0,0,0
121,1.51145,1.129771,1.389313,-0.591553,0.112061,0.781128,0,0,0
124,1.633588,1.29771,1.328244,-0.590942,0.109863,0.775635,0,0,0
127,1.603053,1.51145,1.343511,-0.589722,0.11145,0.780762,0,0,0
130,1.832061,1.648855,1.267176,-0.590942,0.114014,0.778076,0,0,0
133,1.908397,1.923664,1.358779,-0.594116,0.115723,0.782959,0,0,0
136,1.725191,1.954198,1.374046,-0.596802,0.113892,0.786011,0,0,0
139,1.816794,2.030534,1.267176,-0.599121,0.113159,0.789917,0,0,0
142,1.648855,2.061069,1.160305,-0.599365,0.110962,0.790527,0,0,0
145,1.603053,2.030534,1.19084,-0.602661,0.11377,0.791626,0,0,0
