Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
166,2.305344,-2.061069,20.015267,-0.598145,0.091553,0.794556,0,0,0
169,2.045802,-2.351145,19.603053,-0.5979,0.09436,0.790894,0,0,0
172,1.770992,-2.580153,19.19084,-0.59668,0.092407,0.791748,0,0,0
175,1.267176,-2.977099,18.824427,-0.599121,0.093506,0.791992,0,0,0
178,0.870229,-3.175573,18.687023,-0.595215,0.092163,0.796387,0,0,0
181,0.396947,-3.221374,18.152672,-0.595337,0.092285,0.7948,0,0,0
184,0.137405,-3.450382,17.679389,-0.592896,0.093994,0.794312,0,0,0
187,-0.366412,-3.618321,17.206107,-0.595093,0.101807,0.789795,0,0,0
190,-1.389313,-3.633588,16.839695,-0.595215,0.098267,0.794678,0,0,0
193,-1.618321,-3.770992,16.625954,-0.595215,0.094604,0.796631,0,0,0
196,-1.633588,-3.89313,16.10687,-0.592285,0.0896,0.797852,0,0,0
199,-1.679389,-3.969466,15.725191,-0.591797,0.093018,0.798584,0,0,0
202,-1.801527,-3.969466,15.832061,-0.596313,0.08374,0.799194,0,0,0
205,-1.816794,-3.862595,15.557252,-0.591431,0.082764,0.797485,0,0,0
208,-1.618321,-3.78626,15.496183,-0.590698,0.080688,0.796387,0,0,0
211,-1.236641,-3.816794,15.526718,-0.588379,0.087891,0.799072,0,0,0
214,-1.068702,-3.648855,15.419847,-0.591431,0.089844,0.800903,0,0,0
217,-0.931298,-3.541985,15.129771,-0.584106,0.092529,0.80127,0,0,0
220,-1.160305,-3.40458,14.824427,-0.585327,0.098999,0.796143,0,0,0
223,-2.10687,-3.389313,14.641221,-0.589722,0.105347,0.796143,0,0,0
226,-2.946565,-3.267176,14.534351,-0.596558,0.097412,0.796265,0,0,0
229,-3.496183,-3.465649,14.59542,-0.595459,0.087524,0.796387,0,0,0
